title,artist,year,spotify_url
Fuck You,CeeLo Green,2010,https://open.spotify.com/track/3ydfhgIZIc2j39NLIhpJpq
Super Bass,Nicki Minaj,2010,https://open.spotify.com/track/7gKIt3rDGIMJDFVSPBnGmj
Everybody Talks,Neon Trees,2011,https://open.spotify.com/track/5JGxJFdgOQdJZdmyEzDtTj
Grenade,Bruno Mars,2010,https://open.spotify.com/track/2tJulUYLDKOg9XrtVkMgcJ
Good Girls Go Bad (feat. Leighton Meester),"Cobra Starship, Leighton Meester",2009,https://open.spotify.com/track/7kMfu3KUydmrFVGEAhjtyl
Bonfire Heart,James Blunt,2013,https://open.spotify.com/track/13ETkZ90sElK5xJuB4cUEt
You're Beautiful,James Blunt,2005,https://open.spotify.com/track/5pbajJXEPdcoXQPXoAVR1t
Lighters,"Bad Meets Evil, Bruno Mars",2011,https://open.spotify.com/track/4BWBbJ9MKpnt30SFYEomzJ
Barbra Streisand,Duck Sauce,2010,https://open.spotify.com/track/3lZ6Oa8g1f9S05eFOt26E9
The Rockafeller Skank - Remastered Version,Fatboy Slim,2006,https://open.spotify.com/track/2EiYIBGH83p6ORjs14Rdgy
Gangsta Gangsta,"Dr. Fresch, Baby Eazy E",2016,https://open.spotify.com/track/5w6rgrtYFhC6NkUknX1exC
20 Good Reasons,Thirsty Merc,2007,https://open.spotify.com/track/7uCQb1MoL0kC4nw6WsGk38
Bird Machine,DJ Snake feat. Alesia,2013,https://open.spotify.com/track/6Oyn1cIKVaaDTrsBAkFgTI
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",2015,https://open.spotify.com/track/2iKDPbYHVCzE91K5IRqUyM
Shots,"LMFAO, Lil Jon",2009,https://open.spotify.com/track/0p0KHvE29x9LoOsCbs25HD
(I Just) Died In Your Arms,Cutting Crew,1993,https://open.spotify.com/track/0YPXkQthLWrhNGoKTbwCJ8
I Know You Want Me (Calle Ocho),Pitbull,2009,https://open.spotify.com/track/6a8GbQIlV8HBUW3c6Uk9PH
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",2011,https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W
Shut It Down (feat. Akon),"Pitbull, Akon",2009,https://open.spotify.com/track/14UjqB0xdlZranNXnB4oKW
Hotel Room Service,Pitbull,2009,https://open.spotify.com/track/6dKJWmXeYPznzolqo4K6Uq
No Scrubs,TLC,1999,https://open.spotify.com/track/1KGi9sZVMeszgZOWivFpxs
Like A G6,"Far East Movement, The Cataracs, DEV",2012,https://open.spotify.com/track/2s5YN9O8Qv25BjQobPHWVZ
The Real Slim Shady,Eminem,2005,https://open.spotify.com/track/1MYlx4dBtiyjn7K8YSyfzT
My Name Is,Eminem,2005,https://open.spotify.com/track/4rc9kQ6qyssElIccFJgbJb
Without Me,Eminem,2005,https://open.spotify.com/track/5pBvNeOAJ54zgd5lEOmM3b
Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",2004,https://open.spotify.com/track/6HHytHLXLX8QfWTtGfFSvH
In Da Club,50 Cent,2003,https://open.spotify.com/track/4RY96Asd9IefaL3X4LOLZ8
The Next Episode,"Dr. Dre, Snoop Dogg",1999,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
This Love,Maroon 5,2002,https://open.spotify.com/track/6YgV0EF8xJMZz0Zm6BTaT4
Still D.R.E.,"Dr. Dre, Snoop Dogg",1999,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
m.A.A.d city,"Kendrick Lamar, MC Eiht",2012,https://open.spotify.com/track/3qX1dqmDdmMvvfMVfsx4Bh
Watch Me (Whip / Nae Nae),Silentó,2015,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
The Horses - Remastered,Daryl Braithwaite,2007,https://open.spotify.com/track/4sOfr9hxUwJwFtZWLHoOFj
American Boy (feat. Kanye West),"Estelle, Kanye West",2008,https://open.spotify.com/track/41on8RwRh22IHcChAN2gm8
Impossible,James Arthur,2013,https://open.spotify.com/track/5yVIlYEHZxQVLyInCdldoS
Hey Baby (Radio Mix),DJ Ötzi,2010,https://open.spotify.com/track/0HNXnhNZZtRZFLhP4hfyCP
Hot Hot Hot,Buster Poindexter And His Banshees Of Blue,1987,https://open.spotify.com/track/671X8cLcsbu633MONmtFyX
Down Under,Men At Work,1981,https://open.spotify.com/track/3ZZq9396zv8pcn5GYVhxUi
We Built This City,Starship,1985,https://open.spotify.com/track/1DWmir4zA2RO1HkAeD2vrD
Underneath the Radar,Underworld,1988,https://open.spotify.com/track/1UPJoPSCpOzYcRBq5nc586
Working Class Man,Jimmy Barnes,1985,https://open.spotify.com/track/6FQ5fUnSBAg5bujBlT62CL
I'd Die To Be With You Tonight,Jimmy Barnes,1985,https://open.spotify.com/track/730ZkHhtpcqLmmoK7StyWc
Magic (feat. Rivers Cuomo),"B.o.B, Rivers Cuomo",2010,https://open.spotify.com/track/5uHYcK0nbEYgRaFTY5BqnP
