title,artist,year,spotify_url
Bird Machine - Jingle Bells Version,"DJ Snake, Alesia",2013,https://open.spotify.com/track/6t0KVCE10aI5wUeodIHhmW
One Dance,"Drake, Wizkid, Kyla",2016,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
Own This Club,Marvin Priest,2011,https://open.spotify.com/track/5l0RudD17f3y9vwhgr2obT
"Jumpin', Jumpin'",Destiny's Child,1999,https://open.spotify.com/track/4pmc2AxSEq6g7hPVlJCPyP
I'm Yours,Jason Mraz,2008,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA
Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),"T-Pain, Joey Galaxy",2011,https://open.spotify.com/track/4gdx3sBwgfZTZAqxKzQVTA
Scatman (ski-ba-bop-ba-dop-bop),Scatman John,1995,https://open.spotify.com/track/623rRTKwGmgjH6sjE9uWLh
Bring Me To Life,Evanescence,2003,https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp
Mind Your Manners (feat. Icona Pop),"Chiddy Bang, Icona Pop",2010,https://open.spotify.com/track/1hPajXXDa8dfTFABNZe2Ri
Adderall (Corvette Corvette),Popp Hunna,2020,https://open.spotify.com/track/3aAmQOxRPeKDL0HMWFA5qn
Uptown Girl,Billy Joel,1983,https://open.spotify.com/track/5zA8vzDGqPl2AzZkEYQGKh
Help Me Lose My Mind,"Disclosure, London Grammar",2013,https://open.spotify.com/track/3whmx5Ptrqzx2c101FJFi3
Don't Stand So Close To Me - Remastered 2003,The Police,1980,https://open.spotify.com/track/11D6qKfTcfrSnZyuw3D6ud
Since U Been Gone,Kelly Clarkson,2004,https://open.spotify.com/track/3xrn9i8zhNZsTtcoWgQEAd
I Ran (So Far Away) - Single Edit,A Flock Of Seagulls,2010,https://open.spotify.com/track/173PnvZh4grHTf31DPXDbJ
Free,Pete Murray,2011,https://open.spotify.com/track/1OPlx5qqkPUp4VMxFLVhIL
Troublemaker (feat. Flo Rida),"Olly Murs, Flo Rida",2011,https://open.spotify.com/track/0gRczqVHrEQQDyizJUtgRc
Ooh Ahh (My Life Be Like) (feat. Toby Mac),"Grits, TobyMac",2002,https://open.spotify.com/track/1iUoWD9qE93GyoT80O5IKt
Woah,"KRYPTO9095, D3Mstreet",2019,https://open.spotify.com/track/4EyBZN8AmXr8W1HR4vWumN
Freaks,Surf Curse,2021,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
S&M,Rihanna,2010,https://open.spotify.com/track/2u02eLj96Atd6TBxkH9YvN
Call Me Maybe,Carly Rae Jepsen,2012,https://open.spotify.com/track/20I6sIOMTCkB6w7ryavxtO
Purple Rain,Prince,1984,https://open.spotify.com/track/54X78diSLoUDI3joC2bjMz
Pon De Floor (feat. VYBZ Kartel),Major Lazer,2015,https://open.spotify.com/track/1ZfZNovpnletIabLyU0Nnz
Let's Get It On,Marvin Gaye,1973,https://open.spotify.com/track/4WGENqnUmbv0Ml9NwXMlsD
Borderline,Tame Impala,2020,https://open.spotify.com/track/5hM5arv9KDbCHS0k9uqwjr
C'mon Aussie C'mon,Let The Music Play,2011,https://open.spotify.com/track/4GnCYL7eAclTHyDGJsgLNE
Mrs. Robinson,The Lemonheads,1992,https://open.spotify.com/track/3UNr9baVQg513GLBGyHSP4
Booster Seat,Spacey Jane,2020,https://open.spotify.com/track/5th1bFGGaXLM7wDBJpcF06
Damned,Kevin Sherwood,2011,https://open.spotify.com/track/300oPI1fs0ZhQhPAX8Gn0y
Hook Me Up,The Veronicas,2007,https://open.spotify.com/track/5S0OKEFqBZU4JXQNYgMtli
Happier,"Marshmello, Bastille",2018,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
Augustus Gloop,Danny Elfman,2005,https://open.spotify.com/track/0MNJYAxZOaVrKCdVBHMxHm
